,0
Start,2017-10-29 00:00:00+00:00
End,2017-11-11 23:00:00+00:00
Period,14 days 00:00:00
Start Value,100.0
End Value,101.4897008363882
Total Return [%],1.4897008363881934
Benchmark Return [%],9.587851200367648
Max Gross Exposure [%],12.080643246070057
Total Fees Paid,0.06221143033021991
Max Drawdown [%],0.9205067927989403
Max Drawdown Duration,6 days 10:00:00
Total Trades,3
Total Closed Trades,3
Total Open Trades,0
Open Trade PnL,0.0
Win Rate [%],33.33333333333333
Best Trade [%],18.890611778102826
Worst Trade [%],-2.2045904343045537
Avg Winning Trade [%],18.890611778102826
Avg Losing Trade [%],-1.9543826441173153
Avg Winning Trade Duration,7 days 03:00:00
Avg Losing Trade Duration,0 days 12:00:00
Profit Factor,4.747928057796402
Expectancy,0.4965669454627307
Sharpe Ratio,5.605099506238721
Calmar Ratio,51.10026111369907
Omega Ratio,1.2601121519246208
Sortino Ratio,7.472688605267961
